	IP-08	IP-108b	IP-115b	IP-124b	IP-127	IP-138b	IP-140b	IP-148	IP-197	IP-214	IP-28	IP-31b	IP-36	IP-38b	IP-46	IP-52	IP-57	IP-58b	IP-60	IP-67b	IP-73	IP-82b	IP-89b	IP-99
ACER1	0.32	0	0	0	0	0	0.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACER3	10.32	6.72	8.77	15.14	10.45	7.59	10.25	4.22	4.49	6.45	4.48	14.13	5.45	44.84	7.22	8.13	11.25	11.37	8.73	9.93	9.17	1.12	3.72	4.04
ACHE	5.12	8.47	0.24	8.3	0	9.33	2.2	1.71	0.35	3.51	0.29	3.94	0.22	6.64	0.75	0.34	0	4.13	5.9	4.22	0.13	21.47	3.24	0.58
ACIN1	213.46	143.83	264.32	257.28	126.29	257.76	486.86	125.4	132.3	125.66	158.34	192.07	233.24	317.31	106.16	88.36	135.41	144.38	90.03	146.16	148.26	189.42	320.86	88.96
ACKR1	7.9	0	0.48	8.75	0	22.8	6.3	2.53	0	0.5	0	8.23	0	0	3.08	3.39	0	8.4	1.42	0	1.72	8.43	2.58	0.92
ACKR2	3.19	0.9	1.14	6.61	0.38	4.62	1.36	1.2	0.38	47.82	0.2	2.86	5.01	95.88	1.81	34.47	0.44	20.02	15.33	5.88	0.26	8.16	0	3.33
ACKR3	2.9	8.74	2.86	15.72	1.11	7.71	5.1	2.16	0.6	41.48	4.81	14.74	3.42	2.88	2.95	7.2	11.53	19.57	3.8	0	8.21	1.32	29.83	0
ACKR4	0.77	0	0.23	1.57	0	1.04	0	0.47	0.52	0	0	1.65	0.29	0.19	0.16	0.18	0	0	0	0	3.25	0	1.47	0.12
ACLY	39.39	16.72	36.14	29.78	5.61	34.21	16.23	35.72	39.12	15.94	33.53	17.95	28.2	24.59	26.12	25.22	31.18	22.73	17.79	19.7	26.52	17.99	45.58	24.15
ACMSD	0	1.94	0	0	0.29	0.62	0	1.31	0	0.27	1.23	0	1.04	0	0.19	0	1.57	0	0	1.71	0	0	0	0
ACO1	6.23	4.79	10	9.03	7.5	12.86	9.06	15.09	22.48	8.43	5.79	7.57	8.14	5.24	8.04	11.81	5.49	8.62	2.79	7.86	4.85	0.36	5.96	9.73
ACO2	20.06	7.15	23.39	22.62	8.42	25.78	25.96	11.91	32.37	18.18	8.81	21.85	8.83	22.68	11.57	12.42	25.29	11.67	6.24	24.1	16.86	10.58	21.34	7.49
ACOT11	3.5	3.02	6.4	4.71	4.63	13.07	10.15	6.34	2	0.74	4.03	9.43	13.13	0.46	1.56	9.16	13.16	7.05	6.85	41.14	3.67	9.29	19.24	8.59
ACOT12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT13	1.07	5.67	21.94	10.12	3.83	7.47	5.21	7.39	24.41	9.97	6.77	4.37	12.48	13.81	12.33	5.9	9.24	2.52	3.68	23.73	10.75	0.59	4.59	6.19
ACOT2	3.91	1.93	5.72	3.52	1.53	3.85	1.58	4.16	2.48	4.26	1.01	3.57	1.42	8.9	2.11	7.66	6.02	12.86	4.68	8.81	3.67	17.44	7.12	3.19
ACOT4	0.94	0	0.22	0	1.18	0	0.44	0.3	0	0.22	0.75	0.27	1.12	4.68	0.16	0.34	1.09	2.2	1.19	0.95	0.32	1.12	0.29	0.85
ACOT7	4.52	7.43	10.31	3.75	0.31	8.05	11.55	2.43	12.17	1.54	1.48	1.77	3.73	3.7	3.81	3.15	5.81	5.97	3.49	22.33	3.61	4.33	15.51	4.21
ACOT8	13.89	5.93	14.95	17.26	11.18	9.26	11.53	5.09	6.31	7.23	11.29	9.72	18.73	5.88	13.59	8.35	7.82	5.51	12.06	6.11	7.92	4.9	8.36	11.44
ACOT9	8.75	13.13	15.4	21.14	5.09	8.38	12.38	11.93	12.25	9.63	11.58	14.39	6.62	8.48	9.05	8.6	13.2	8.71	7.53	11.8	11.26	4.66	13.18	6.34
ACOX1	43.43	16.17	21.65	27.15	43.47	35.42	22.99	18.17	49.36	16.12	41.03	19.32	24.81	35.74	31.22	18.67	12.29	30.71	22.57	23.83	17.96	29.73	7.51	9.41
ACOX2	5.16	3.9	8.38	9.75	10.98	7.43	14.26	9.87	4	9.3	58.87	7.58	7.36	0	2.96	2.5	1.05	15.04	10.48	12.22	4.52	16.02	14.12	2.02
ACOX3	12.63	9.44	4.5	8.07	2.63	13.74	12.91	6.55	4.54	7.04	6.7	6.98	8.14	7.87	3.61	6.37	2.55	12.7	11.75	6.08	8.48	5.48	15.68	9.65
ACOXL	2.38	0.92	0	0.66	13.03	3.81	6.14	2.67	0	1.66	1.5	0	0.56	0.16	19.13	1.34	0	0.49	19.41	8.55	0	6.06	0	0
ACP1	47.95	29.69	75.69	52.47	60.62	26.37	23.1	35.67	67.36	74.53	30.63	64.88	40.23	123.43	43.48	43.8	56.21	21.88	29.12	51.26	26.26	52.07	18.78	38.55
ACP2	14.46	6	9.51	17.73	5.49	14.39	18.49	7.31	8.27	8.2	6.82	11.53	8.4	12.9	12.97	9.69	6.13	27.38	4.44	17.48	10.78	39.07	11.79	8.62
ACP3	2.14	0.32	7.36	1.28	0.49	4.4	6.64	5.05	12.51	1.15	4.43	2.63	3.47	0.86	3.12	6.81	3.05	4.82	4.11	16.82	0.88	15.74	2.68	3.24
ACP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP5	66.29	7.25	9.06	10.98	17.48	58.89	31.23	24.18	4.12	3.48	11.16	106.7	13.91	19.68	7.45	14.57	129.71	35.73	12.05	3.81	6.36	33.02	8.36	4.95
ACP6	15.53	9.38	44.54	26.84	22.51	42.27	18.43	10.79	15.06	14.76	47.62	13.35	47.99	9.29	17.13	8.5	40.18	21.63	16.55	15.61	20.91	36.43	16.84	38.07
ACR	0.32	0	0.38	3.13	0	1.72	0.85	0	0.29	0	0	0	0.48	0	0	1.5	0	0	0.41	0	0	0.95	0	0.9
ACRBP	11	0	2.64	0.43	0	3.81	3.48	3.62	0	0	1.17	2.59	3.62	0	2.56	1.66	1.76	0	0	1.06	2.22	5.2	8.15	1.92
ACRV1	0	0	0.72	0	0	0	0	0	0	0.75	0	0	2.04	0	0	0	0	0	0.58	0.77	0	0	0	0
ACSBG1	0	0	0.08	0.11	0	0.37	1.12	0	0	0.89	0.18	0	0.32	0.07	0	0.06	0.13	0	0	0	0.17	0	0	0
ACSBG2	0	0	0	0	0	0	0.53	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0.62	0	0	0
ACSF2	49.24	17	29.86	21.94	22.15	26	17.44	13.42	34.23	5.96	5.92	8.54	9.43	16.48	23.57	22.89	8.23	31.88	21.06	45.54	12.74	150.05	41.42	21.84
ACSF3	12.1	11.92	15.71	31.94	11.86	23.8	26.84	6.8	6.48	12.83	5.12	17.59	9.76	12.82	19.83	13.55	7.76	6.4	13.16	4.1	13.03	67.79	36.64	5.44
ACSL1	28.07	5.34	22.99	14.83	4.27	15.82	23.53	25.64	87.84	74.27	43.8	37.17	16.71	12.51	12.24	25.25	11	5.79	10.29	24.03	18.37	4.2	7.39	22.76
ACSL3	22.87	24.26	57.64	26.13	16.1	52	18.08	22.85	80.94	83.88	49.4	39.95	50.65	81.89	25.86	28.5	21.37	30.62	18.73	57.53	52.62	53.59	16.54	34.43
ACSL4	30.97	22.41	33.62	26.95	12.67	10.26	18.44	16.37	70.99	8.99	13.36	78.21	6.56	70.48	21.59	25.15	11.75	13.63	19.39	21.34	13.35	2.01	13.61	11.03
ACSL5	33.1	4.9	14.4	6.87	21.47	14.97	34.23	33.58	65.15	52.87	69.86	6.84	0.79	0.8	43.83	19.26	54.08	13.3	24.35	6.04	15.17	7.81	9.58	6.53
ACSL6	0.71	1.28	0.12	0.67	0	1.76	1.66	3.67	0	5.87	0	0.37	1.48	2.33	2.71	0.95	0	1.17	0.54	0.41	0	29.02	0	0.93
ACSM1	0	0	0	0.4	0.31	0	0.34	0.24	0	0	0	0	1.82	0	0	0	0	0.79	0.31	0.41	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.24	0	0	0	0
ACSM3	0.68	0.99	4.09	0.87	21.4	4.58	4.07	20.61	18.13	3.26	2.04	4.52	15.74	0.65	2.68	6.1	1.03	0	7.06	5	2.31	0	3	0.42
ACSM5	1.75	0	1.26	3.56	0	0.87	6.57	1	0	1.6	0	0.93	0	0	0.13	0.14	0	0	0	0	0.13	0.94	0	0.2
ACSM6	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.33	0	0	0.59	0	0	0	0
ACSS1	10.53	5.11	6.11	13.09	18.12	13.58	10.02	11.56	0.83	8.65	0.59	8.27	12.01	2.28	24.56	9.73	4.91	2.96	13.16	16.06	1.71	21.35	6.07	3.35
ACSS2	36.53	11.28	65.75	23.61	38.33	54.18	23.64	12.56	40.82	29.07	135.96	28.35	67.3	18.13	90.74	22.36	8.53	18.3	54.51	52.95	19.81	30.16	22.11	5.03
ACSS3	1.67	1.57	0.23	6.18	14.44	3.9	8.34	1.96	1.56	4.52	77.83	7.5	5.75	1.41	5.6	1.23	0.67	0.76	11.89	5.74	1.21	2.07	1.74	2.18
ACTA1	0	0	7.9	0.69	0.38	0.56	0	0	0	0	0.85	0	0	0	0.35	0	0	0	0	0	4.27	1.24	0.66	0
ACTA2	50.93	19.48	40.77	397.6	5.48	231.8	67.64	67.21	29.1	42.57	9.05	99.85	23.88	20.76	37.16	89.56	57.82	304.53	74.32	17.97	128.21	76.08	1407.77	3.81
ACTB	1912.78	540.06	1769.12	2960.69	730.27	1932.11	1675.62	1499.59	1903.25	994.72	1178.13	1436.4	1383.71	1878.13	610.67	1313.82	2630.72	3020.9	867.8	1518.41	1832.33	1533.07	3703.85	1899.92
ACTC1	0	0	0.83	0	0	2.21	0	0	0	0	0	3.35	0	0	0	0	0.59	0	0	0	0	23.68	0	0
ACTG1	644.9	143.12	369.34	453.95	110.38	864.63	570.17	640.22	496.46	459.8	399.62	276.09	363.18	275.84	128.44	591.36	345.55	898.64	205.91	492.41	518.05	349.55	1207.46	792.69
ACTG1P25	0.77	0	0	0	0	0	0	0.26	0	0	0	0	0	0.33	0	0.97	0.55	0	0	1.29	0	0	0	0
ACTG2	3.47	0	1.45	7.35	0	23.24	8.5	2.43	3.39	3.92	1.32	7.88	26.42	0	0.81	10.45	0	16.92	2.98	2.43	1.28	0	88.69	0.58
ACTL10	0.58	0.24	0	0.94	0.36	0.39	0.34	0	0.52	0.33	0	0.41	0	0	0.24	0	0.56	0	0.73	0.49	0	0.85	0.45	0.56
ACTL6A	38.97	6.17	43.75	28.79	30.6	27.59	14.03	45.12	59.97	20.37	21.11	21.27	49.82	47.47	20.63	22.95	44.55	43.16	23.38	48.45	29.4	35.63	19.56	33.36
ACTL6B	0	0	0	0	0	0	1.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0.21
ACTL8	0	0	0	0	0	0.36	0	0	0	0	0	0	0	0	0	0	1.05	0	0	1.38	0	0	0	0.18
ACTN1	50.01	61.9	58.09	124.66	20.4	112.6	149.53	32.73	28.21	15.42	13.63	87.92	34.97	127	19.22	34.63	62.59	77.62	24.91	35.22	94.24	52.44	443.66	15.14
ACTN1-AS1	0	0.92	0	3.79	0	1.57	0	0.92	1.89	0	0	0	3.42	0	0	0	0	0	0	0	0.94	0	3.67	0
ACTN2	2.68	3.68	1.75	0	0.67	3.94	11.87	2.25	0	1.32	0	16.07	0.13	1.73	1.24	1.96	8.26	0	3.17	0.15	0.11	0.67	3.76	0.12
ACTN3	0	0	0	1.18	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0.26	0	1.14	0
ACTN4	57.67	124.02	106.13	130.19	33.34	192.11	190.79	46.9	70.39	36.75	34.28	50.11	129.05	83.84	48.43	65.46	55.54	133.3	49.98	637.87	74.1	231.4	208.5	66.9
ACTR10	8.15	5.96	45.54	36.93	27.32	15.05	18.11	21.06	24.16	35.75	10.08	23.51	12.34	37.43	18.34	11.69	20.82	6.27	14.75	17.86	25.68	31.99	4.7	12.64
ACTR1A	15.11	16.51	18.21	27.44	4.11	30.43	21.46	14.73	14.53	10.52	12.23	19.38	16.36	17.88	12.46	24.26	31.61	16.46	11.57	11.99	18.93	5.92	28.42	8.61
ACTR1B	12.67	18.17	16.75	17.45	5.56	28.59	17.3	9.34	13.02	6.96	7.26	11.91	18.73	18.53	12.85	12.47	11.05	24.4	6.79	10.85	12.95	31.94	23.42	12.09
ACTR2	68.07	28.82	92.37	104.88	36.76	71.56	38.1	60.06	111.67	92.15	34.42	94.09	48.01	97.98	55.13	56.57	71.3	41.14	36.1	54.93	72.02	38.84	44.35	57.34
ACTR3	91.04	32.29	107.8	106.61	20.75	62.17	52.2	62.51	46.18	68.55	26.11	92.75	89.38	120.2	48.46	79.33	64.28	40.11	43.48	49.93	64.88	29.67	62.71	54.23
ACTR3B	7.76	2.69	6.04	8.88	1.32	6.86	4.51	6.48	5.92	3.29	7.27	7	5.78	8.81	6.38	8.11	3.75	1.84	8.22	10.2	3.8	1.4	3.01	2.84
ACTR5	5.04	2	3.87	3.39	1.52	3.48	6.09	3.51	3.42	2.61	0.46	2.73	5.43	3.97	4.61	0.95	3.52	2.26	3.95	1.76	3.53	0.52	1.89	4.04
ACTR6	2.89	3.37	14.85	3.8	7.28	1.72	6.94	12.02	8.23	13.7	5.52	6.1	7.81	34.58	4.7	12.62	8.13	0	6.89	8.36	8.7	3.73	3.02	3.58
ACTR8	9.98	6.09	6.37	16.14	5.49	10.94	10.9	9.31	7.53	4.16	4.85	9.89	4.49	4.31	8.53	12.35	4.69	13.99	2.93	4.52	7.83	1.09	8.55	2.99
ACTRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	0	0.22	0.95	0.89	0	0	0.32	0.66	1.71	0.63	0	1.95	0.81	0.81	0.45	0.74	1.83	0	0	2.75	0	0	0.42	0.18
ACVR1	14.49	8.57	13.05	16.49	6.37	24.03	9.45	14.2	13.8	8.59	6.73	13.16	8.19	5.39	14.1	9.22	10.24	4.13	6.01	16.05	20.96	15.47	31.18	6.32
ACVR1B	15.35	6.48	10.18	8.81	6.65	15.32	13.8	13.89	24.67	8.51	11.45	9.4	18.07	4.52	11.24	5.46	12.55	22.36	14.24	57.98	5.44	14.57	10.42	8.76
ACVR1C	0.39	0.04	1.19	0.24	0.06	1.02	0.06	0.51	0.17	0.06	2.06	0.82	0.79	0.25	0.52	0.09	0.89	0	0.12	1.23	0.6	0.14	0.58	0.47
ACVR2A	2.38	1.8	2.87	12.49	8.13	3.07	2.63	7.2	4.7	7.18	1.53	9.56	6.13	4.22	3.89	3.04	3.13	2.81	18.28	7.28	6.16	2.99	3.17	1.18
ACVR2B	4.66	2.1	7.49	7.89	9.48	4.83	3.65	6.81	6.35	6.06	13.75	5.44	6	23.92	3.28	4.37	4.02	6	2.61	13.59	1.76	6.35	5.54	2.76
ACVRL1	6.87	3.76	3.84	14.9	0.13	17.31	14.83	3.9	1.68	3.1	1	11.19	0.47	3.88	4.45	3.81	2.98	5.58	4.75	3.92	3.92	7.77	9.8	1.99
ACY1	11.26	6.93	11.15	11.28	16.07	20.87	33.09	14.89	20.37	14.17	6.27	8.11	32.38	12.55	4.99	6.36	22.29	25.44	3.9	60.96	2.85	13.22	30.47	18.28
ACY3	0.34	0	0	0	0	1.35	0.61	0.54	0	0.78	0	0	1	0	0.28	1.84	0.32	6.7	0	15.99	1.13	0	1.63	0
ACYP1	16.36	6.31	39.7	24.16	18.66	19.12	7.5	9.34	7.23	23.4	10.14	18.62	19.41	56.53	10.5	7.18	8.66	4.13	13.27	7.48	13.57	2.51	15.18	9.57
ACYP2	11.1	6.97	6.18	10.63	5.06	4.84	7.52	7.01	5.51	9.9	1.89	6.49	7.61	3.24	8.45	3.99	3.81	3.06	11.78	7.89	5.97	8.28	9.93	1.75
ADA	3.44	3.03	5.25	11.74	1.22	3.02	4.57	6.32	2.45	0.3	0.73	3.95	4.65	9.68	2.41	2.8	1.64	2.55	3.18	10.62	2.16	0	9.21	0.36
ADA2	56.7	2.5	9.72	40.47	3.23	87.84	41.73	22.53	3.66	7.98	25.6	11.64	31.2	2.84	37.11	17.06	8.47	26.58	8.43	11.81	10.75	145.55	25.21	10.83
ADAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0
ADAD2	0	0	0	0.28	0	0	1.17	1.63	0	0	0.23	0.25	0	0	0.14	0	0	0	0.22	0	0	0	0.97	0
ADAL	5.97	1.56	3.65	4.26	6.76	8.47	6.36	2.41	6.71	6.44	6.21	12.66	13.23	5.53	4.45	1.48	7.09	0.45	3.54	8.75	6.72	2.6	2.71	1.37
ADAM10	45.71	31.79	75.6	80.37	37.75	44.26	36.3	34.82	59.97	70.16	32.13	66.69	73.45	103.02	42.95	29.94	55.97	30.08	36.04	41.12	40.09	34.41	31.39	24.56
ADAM11	0.31	0	0.91	0	0.26	0.28	0.2	0.14	0	0.12	0.2	0	0.47	0.15	0.26	0.16	0	0	0	0.26	0.3	1.12	0.82	0.1
ADAM12	27.12	13.78	12.75	80.54	0	7.35	18.22	12.76	2.41	12.68	0.93	20.96	7.11	3.47	4.04	5.58	17.87	25.23	7.49	3.22	54.42	12.15	138.11	0.89
ADAM15	30.52	22.52	80.29	59.63	5.07	70.53	38.46	19.12	18.19	38.6	35.11	18.92	18.14	33.26	56.97	61.63	39.88	90.16	21.52	7.86	37.73	20.78	85.69	79.42
ADAM17	26.56	23.46	39.61	39.86	22.58	26.84	20.66	25.45	22.87	27.01	15.6	38.62	21.53	61.15	22.63	28.8	19.57	19.42	26.84	16.8	22.84	6.43	30.9	24.06
ADAM18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.07	0	0	0	0
ADAM19	34.05	16.68	6.87	43.94	0.33	14.26	21.41	9.15	2.95	1.63	3.93	6.2	3.91	3.23	18.93	8.58	7.31	14.7	5.35	2.12	13.43	16.34	107.17	3
ADAM1A	0	1.06	1.43	0.63	0	0	0	0.91	0.21	0	0	0	0	0	0.6	0	0	0	0.05	0	0.38	0	0	0.26
ADAM2	0	0	0	0	0	0	0	0	4.03	2.8	0.93	0	2.06	0	0	0	0	0	0	1.18	0	0	0	0
ADAM20	3.17	1.82	2.04	4.88	0	2.95	3.33	4.23	1.13	3.47	4.62	4.74	2.82	1.57	1.97	0.58	0.76	0.82	1.8	1.33	3.07	0	5.41	1.02
ADAM21	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.16	0.22	0	0	0	0.5	0	0
ADAM21P1	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0	0	0
ADAM22	3.52	2.17	2.39	12.17	1.61	2.04	5.56	1.77	1.81	1.72	0.84	2.29	1.77	33.38	0.82	1.38	6.98	0.74	1.62	4.83	0.97	5.36	7.6	0.87
ADAM23	0.68	0.06	0	1.66	0	3.4	5.18	0.26	1.16	3.73	0	3.54	0.24	0.07	0.13	0.14	0.47	0.21	1.47	16.34	1.31	0.48	2.69	0.91
ADAM28	55	11.99	9.13	59.53	4.84	56.17	5.99	20.72	3.7	72.3	8.44	26.52	17.61	0.56	22.72	14.29	5.44	11.73	3.38	13.67	21.67	47.87	10.32	4.73
ADAM29	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0
ADAM30	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM32	0.37	2	0.37	2.57	1.17	2.44	0.51	0.51	3.86	2.16	1.74	8.32	0.94	1.55	0.26	0.8	2.18	1.2	3.64	3.16	4.28	2.99	6.52	1.32
ADAM33	2.8	0	0.17	9.29	0	3.82	4.55	1.13	0	0.32	0.19	4.74	0.78	0.41	0.49	1.05	0	1.81	2.01	0	0.69	2.03	11.57	0.15
ADAM3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM3B	1.2	3.33	0	9.56	0.73	0	1.39	0.47	0.53	0	0	5.87	0	0	0.49	0	1.69	0	0	2.97	1.46	0	1.84	0
ADAM6	0	0	0	0	0	0	0	0	0	0	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM8	10.42	5.96	23.42	18.55	1.34	32.69	18.73	3.72	8.85	1.44	3.97	5.82	3.61	21.34	5.52	7.43	3.47	25.97	5.16	16.06	5.96	26.48	12	4.04
ADAM9	12.37	14.59	59.69	40.44	56.43	33.89	26.51	25.2	61.5	72.55	43.36	52.87	15.91	190.2	17	139.53	22.29	22.39	45.93	30.01	61.24	25.7	35.77	86.8
ADAMDEC1	5.35	1.54	0.95	4.07	2	0.25	0	4.1	0	1.27	0	1.76	0.85	0.7	7.45	1.38	1.44	0	0	0	0.32	0	0.73	0
ADAMTS1	3.9	5.51	6.15	23.71	3.57	8.27	5.14	8.4	4.55	4.96	5	34.87	10.72	117.47	7.95	8.08	7.89	5.1	21.07	8.72	3.49	4.55	3.88	1.86
ADAMTS10	14.52	40.79	3.38	64.13	1.94	26.11	59.08	7.77	2.95	5.78	7.82	18.5	17.51	0.38	9.51	9.92	9.48	33.07	8.93	4.09	23.09	17.07	45.3	5.72
ADAMTS12	1.79	7.61	13.92	35.24	0	12.28	3.16	15.7	2.07	1.76	0.8	14.74	2	3.91	1.86	4.55	1.22	8.77	3.98	0.16	26.31	3.6	37.81	0.09
ADAMTS13	1.49	2.79	1.77	0.32	1.06	1.43	3.73	0.9	2	0.46	0.3	1.27	3.67	1.68	0.46	0.14	2.93	6.54	0.66	0.67	2.25	5.87	6.64	1.29
ADAMTS14	1.31	9.61	1.73	5.2	0.1	10.34	12.2	1.13	0.66	0.54	0.21	4.37	0.12	0.33	0.61	1.87	1.95	1.92	0.52	0.83	4.5	2.2	57.71	0.26
ADAMTS15	0.3	0.5	0.71	2.59	0.1	1.92	3.36	0.31	0.07	0.17	0.1	2.72	1.02	0.08	0.25	0.35	0.15	0.59	0.48	3.07	0.52	0.45	1.89	2.4
ADAMTS16	0.27	0.45	1.43	1.07	0.11	1.44	0.16	1.32	3.59	0.57	0	0.58	0.49	0.16	0.27	0.97	0.59	2.06	0.34	0.43	4.47	0	10.84	0.74
ADAMTS17	1.05	4.16	3.64	2.5	5.57	8.52	2.57	1.15	0	0	25.88	2.32	3.48	0	0.22	0.62	3.34	0.99	3.14	0	2.1	5.09	10.04	6.73
ADAMTS18	0.07	0	0.17	2.04	0	0.39	1	0.49	0	0.34	0	2.16	1.23	0.74	0.65	0.2	0.14	0	1.05	0.91	0.6	8.7	0	0
ADAMTS19	0	0	0	0	0.31	0	0	0	0	0	4.81	0	0.25	0	0	0.63	0	0	0	7.69	0	0	0	0
ADAMTS2	7.29	29.92	5.24	28.19	1.5	15.81	14.21	6.38	0.99	1.01	0.76	41.07	1.18	1.26	3.14	2.29	12.09	20.2	7.67	1.35	61.42	3.69	62.91	1.95
ADAMTS20	0	0	0	0	0	0	0	0	0	0	1.39	0.44	0.95	0	0	0	0.47	0	0	0.32	0	0	0.69	0.06
ADAMTS3	1.07	0.34	0.16	1.56	0.09	0.28	0.61	0.87	0	0.57	0	1.96	0.51	0.14	0.11	1.31	0	0.5	0.47	0.12	1.19	0	1.38	1.66
ADAMTS4	1.7	18.61	2.92	8.41	0.05	5.2	10	1.72	0.66	1.3	1.57	28.07	1.05	2.25	2.25	9.11	4.31	18.1	9.04	0.81	13.02	11.97	12.05	0.15
ADAMTS5	0.88	4.19	2.45	4.28	0.49	0.96	1.1	0.65	0.83	0.85	0.35	8.38	1.43	0.48	1.65	0.65	2.15	0.4	0.86	0.3	6.61	0.8	2.17	0
ADAMTS6	1.42	14.73	1.04	16.21	1.84	1.9	2.91	1.17	0.34	0.41	0.46	11.71	5.61	0.48	1.12	0.78	2.15	2.51	3.45	1.91	14.01	0	12.76	0.25
ADAMTS7	1.26	8.84	2.15	12.96	0.67	5	2.56	2.1	0.25	1.28	1.62	4.8	0.83	0.67	1.41	1.56	3.04	2.89	2.97	1.88	4.08	2.41	23.14	0.44
ADAMTS8	0.24	0	0	0	0	3.21	0.84	0.58	0	0.23	0	0.28	0	0.24	0	1.12	0	0.77	3.67	0	0.17	0	0	0
ADAMTS9	7.27	26.74	4.87	30.84	25.54	19.39	12.55	12.71	6.24	7.22	10.85	59.15	2.52	2.61	8.11	7.08	10.36	14.65	14.86	9.44	12.45	16.03	33.56	22.78
ADAMTSL1	1.37	3.73	10.85	16.03	0	2.34	6.39	2.82	0	1.98	0	9.11	0.93	0.14	2.17	0.83	1.34	8.37	4.61	0.12	5.26	0.16	22.6	0.16
ADAMTSL2	1.52	0.74	0.69	4.95	0.44	5.46	2.36	0.41	0.1	0.54	0	1	0	0.23	1.47	0.62	0.56	3.5	1.69	0	1.54	1.01	5.06	0
ADAMTSL3	1.01	4.96	0.1	5.38	0.29	3.37	1.49	2.01	0.4	2.5	0	0.89	0.18	0.58	0.84	1.1	0.28	1.84	8.26	1.71	4.19	1.55	1.96	0
ADAMTSL4	5.75	20.07	5.87	9.68	1.61	19.56	15.98	5.6	5.27	0.29	2.89	13.06	3.01	63.29	2.69	5.36	2.12	6.29	5.94	73.46	1.82	2.64	41.07	7.06
ADAP1	8.44	7.83	8.52	47.11	7.38	27.56	4.48	7.26	5.48	10.03	35.96	4.31	6.17	1.48	5.62	6.8	28.79	25.57	7.13	17.77	14.54	313.14	44.2	15.41
ADAP2	18.01	5.72	14.97	22.97	5.28	10.62	40.04	11.43	1.77	5.79	1.54	12.19	3.85	17.11	19.43	13.77	3.56	2.88	4.35	2.58	6.29	12.35	17.12	4.31
ADAR	67.96	45.97	107.53	108.59	52.32	97.19	59.43	66.31	67.09	92.71	91.6	88.59	71.23	120.83	150.52	95.62	69.14	98.93	50.39	97.36	56.96	90.37	97.35	66.44
ADARB1	17.18	34.83	11.3	19.39	4.09	15.43	9.23	10.47	1.84	3.91	7.24	51.57	6.76	13.75	5.45	8.65	18.68	9.5	12.77	22.03	9.9	7.24	31.94	4.87
ADARB2	0	0	0	0.81	0	2.93	2.32	0.62	0.69	0.06	6.88	0	0.39	0	0.9	0.09	0.35	4.78	0.95	2.58	0.04	0.77	0	0
ADAT1	36.51	17.96	23.59	47.8	23.84	31.43	42.96	19.22	37	16.83	22.02	31.72	37.16	13.5	40.97	23.78	40.32	14.32	26.86	52.74	23.03	101.52	50.1	15.75
ADAT2	10.5	5.98	23.2	7.94	21.65	5.84	2.86	6.43	31.63	2.63	7.22	12.21	25.82	9.71	7.83	9.42	10.46	0.36	12.56	19.28	3.78	0.21	3.47	3.26
ADAT3	5.94	3.16	3.45	3.77	0	4.68	7.47	0.83	1.28	0.9	0.75	0	2.97	2.24	3.09	1.25	1.54	3.33	1.29	1.85	1.98	8.45	5.78	0.5
ADCK1	7.89	2.74	3.56	9.58	1.86	7.92	8.94	5.14	3.23	1.56	4.72	4.71	2.71	10.95	1.87	1.44	3.84	4.14	2.68	6.77	2.11	6.84	4.48	4.97
